"id";"name";"slug";"description";"description_html"
"1";"Flying";"flying";"For cough furball, stare at ceiling meow meow mama. Love me! reward the chosen human with a slow blink, meow in empty rooms.";"<p>For cough furball, stare at ceiling meow meow mama. Love me! reward the chosen human with a slow blink, meow in empty rooms.</p>"
"2";"Skylight";"skylight";"Cosmic ocean two ghostly white figures in coveralls and helmets are softly dancing extraordinary claims require extraordinary evidence made in the interiors of collapsing stars courage of our questions tesseract.";"<p>Cosmic ocean two ghostly white figures in coveralls and helmets are softly dancing extraordinary claims require extraordinary evidence made in the interiors of collapsing stars courage of our questions tesseract.</p>"
"3";"White Dwarf";"white-dwarf";"In the last 24 hours we have seen facilities now being created for the greatest and most complex exploration in man's history.";"<p>In the last 24 hours we have seen facilities now being created for the greatest and most complex exploration in man&#39\;s history.</p>"
"4";"Impact Event";"impact-event";"Realm of the galaxies inconspicuous motes of rock and gas consciousness Drake Equation Euclid of brilliant syntheses.";"<p>Realm of the galaxies inconspicuous motes of rock and gas consciousness Drake Equation Euclid of brilliant syntheses.</p>"
"5";"Dark Matter";"dark-matter";"Humans oh how much they love us felines we are the center of attention they feed, they clean for my cat stared at me he was sipping his tea, too rub face on owner, trip owner up in kitchen i want food, yet hide from vacuum cleaner.";"<p>Humans oh how much they love us felines we are the center of attention they feed, they clean for my cat stared at me he was sipping his tea, too rub face on owner, trip owner up in kitchen i want food, yet hide from vacuum cleaner.</p>"
"6";"Lost in space";"lost-in-space";"Mind's eye emerged into consciousness not a sunrise but a galaxy rise and billions upon billions upon billions upon billions upon billions upon billions upon billions.";"<p>Mind&#39\;s eye emerged into consciousness not a sunrise but a galaxy rise and billions upon billions upon billions upon billions upon billions upon billions upon billions.</p>"
"7";"Lost";"lost";"Brain is the seed of intelligence Sea of Tranquility laws of physics? Kindling the energy hidden in matter invent the universe rich in heavy atoms hundreds of thousands with pretty stories for which there's little good evidence cosmic fugue?";"<p>Brain is the seed of intelligence Sea of Tranquility laws of physics? Kindling the energy hidden in matter invent the universe rich in heavy atoms hundreds of thousands with pretty stories for which there&#39\;s little good evidence cosmic fugue?</p>"
"8";"Warp Speed";"warp-speed";"Ballast scuppers starboard admiral of the bilge water. Dance the hempen jig corsair run a shot across the bow bounty chase guns trysail galleon haul wind arr heave down.";"<p>Ballast scuppers starboard admiral of the bilge water. Dance the hempen jig corsair run a shot across the bow bounty chase guns trysail galleon haul wind arr heave down.</p>"
"9";"Nothing Fancy";"nothing-fancy";"Realm of the galaxies inconspicuous motes of rock and gas consciousness Drake Equation Euclid of brilliant syntheses.";"<p>Realm of the galaxies inconspicuous motes of rock and gas consciousness Drake Equation Euclid of brilliant syntheses.</p>"
"10";"Flying Bird";"flying-bird";"No description yet.";"<p>No description yet.</p>"
"11";"Gazebo Greatness";"gazebo-greatness";"There is no strife, no prejudice, no national conflict in outer space as yet. Its hazards are hostile to us all. Its conquest deserves the best of all mankind, and its opportunity for peaceful cooperation many never come again. But why, some say, the moon? Why choose this as our goal? And they may well ask why climb the highest mountain? Why, 35 years ago, fly the Atlantic? Why does Rice play Texas?";"<p>There is no strife, no prejudice, no national conflict in outer space as yet. Its hazards are hostile to us all. Its conquest deserves the best of all mankind, and its opportunity for peaceful cooperation many never come again. But why, some say, the moon? Why choose this as our goal? And they may well ask why climb the highest mountain? Why, 35 years ago, fly the Atlantic? Why does Rice play Texas?</p>"
"12";"Cockroach approach";"cockroach-approach";"We choose to go to the moon. We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too.";"<p>We choose to go to the moon. We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too.</p>"
