id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
11;American President, The;Kunhardt, Philip B., Kunhardt, Peter W.;1999;Hardcover w/ jacket;Riverhead;N/A;Used, Good Condition;45;Sycamore:;History, America, Reference;NULL;NULL;N;"The American President has the looks of a coffee-table book, the smarts of an academic tome, and the readability of a novel, full of interesting and little-known facts about the first 41 chief executives of the United States. (Bill Clinton is the 42nd president, but Grover Cleveland was elected president twice, before and after Benjamin Harrison, making him the 22nd and 24th president.) The Kunhardt family are producers of both historical books and documentaries, and their television background is evident in the visual emphasis within The American President--which, as it happens, is also being turned into a television documentary. Another thing that sets the book apart from countless others on the presidents is its unique organization. The presidents are not presented in chronological order, but grouped instead according to characteristics that personified them and their presidencies. For example, Abraham Lincoln and Lyndon Johnson are brought together in a chapter on professional politicians, John Adams and Jimmy Carter share space for their \"Independent Cast of Mind,\" and Theodore Roosevelt and Richard Nixon are noted for \"Expanding Power.\" For anyone interested in the presidency, politics, or history The American President is a wonderful library addition. ";11;First Edition. DJ clipped inside;2
180;Argonautica;Apollonius;1960;Hardcover w/ slipcase;Heritage Press;Tassos, A. (illustrator);Good;50;Sycamore:;Literature, Classics, Poetry;NULL;NULL;N;NULL;180;Kapor bookplate inside. Sandglass missing.;2
12;Back Roads of California: Sketches and Trip Notes;Thollander, Earl;1971;Hardcover w/ jacket;Lane;Thollander, Earl (illustrator);Used, good;45;Aaron's Place;Travel, Reference, Inspiration;NULL;NULL;N;Annotated line drawings and maps introduce the traveler to forty country and desert roads.;12;First edition.;2
13;Lessons of History, The;Durant, Will;1968;Hardcover w/ jacket;Simon and Schuster;Karwoski, Richard C.;Used, Like New;75;Sycamore: 2rd, Left;History, Education;NULL;NULL;N;NULL;13;First Edition. Very nice.;2
14;Harry S. Truman;Truman, Margaret;1973;Hardcover;Morrow;N/A;Good;35;Sycamore: 2nd, Left;Biography;2.35;602;9;The personal account of President Truman's daughter provides insight into her father's private and public worlds and the people who influenced his decisions and policies;14;"\"G.L.K.\" stamp inside.";2
15;Birds and The Frogs, The;Aristophanes;1959;Hardcover w/ slipcase;Heritage Press;Austen, John (illustrator);good;45;Sycamore:;Theatre, Literature;NULL;NULL;N;NULL;15;Sandglass included.;2
16;Heritage: Dickens - A Tale of Two Cities;Dickens, Charles;1938;Hardcover w/ slipcase;Heritage Press;Sussan, Rene Ben (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;16;Sandglass included.;2
17;Bambi;Salten, Felix;NULL;Hardcover, Missing Jacket;Grosset & Dunlap;NULL;Used;50;Sycamore: Top;NULL;NULL;NULL;N;NULL;17;"Missing Jacket, spine parting. \"Happy Birthday to GeorgIe! April 14th, 1963\" written inside";2
18;Courage of Sarah Noble, The;Alice Dalgliesh;1954;Hardcover w/ Jacket;Charles Scribner's Sons;N/A;Used;45;Sycamore: Top, Center right;N/A;1.38;NULL;9;"In 1707, young Sarah Noble and her father traveled through the wilderness to build a new home for their family. \"Keep up your courage, Sarah Noble,\" her mother had said, but Sarah found that it was not always easy to feel brave inside. The dark woods were full of animals and Indians, too, and Sarah was only eight!     The true story of Sarah's journey is inspiring. And as she cares for her father and befriends her Indian neighbors, she learns that to be afraid and to be brave is the greatest courage of all.";18;First Edition;2
19;Heritage: Dickens - Dombey & Son;Dickens, Charles;1957;Hardcover w/ slipcase;Heritage Press;Pitz, Henry C. (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;19;Sandglass included.;2
20;Fox's Book of Martyrs;Fox, John;1843;Hardcover;Little, Brown and Company;NULL;Poor ;NULL;Sycamore:;History, Religion;NULL;NULL;N;NULL;20;Book coming apart with a page of lettering in pencil. ;2
21;Divine Comedy, The;Alighieri, Dante ;1944;Hardcover w/ slipcase;Heritage Press;Blake, William;Good, Like New;45;Sycamore: 4th, Right;Novel;NULL;NULL;N;NULL;21;"Sandglass pamplet included.\"Joan Hyde Kapor\" inscribed inside the cover.";2
22;Mother Goose Rhymes;Piper, Watty (editor);1940;Hardcover, Missing Cover;Platt & Munk Co. Inc ;Austin, Margot (illustrator);Very Poor;NULL;Aaron's Place;Nursery Rhymes, Children;NULL;NULL;N;NULL;22;NULL;2
23;Heritage: Dickens - Great Expectations;Dickens, Charles;1939;Hardcover w/ slipcase;Heritage Press;Ardizzone, Edward (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;23;Sandglass included.;2
24;Cloisters Apocalypse, The: A Fourteenth-Century Manuscript in Facsimile (2 Volumes);"Hoving, Thomas\\; William F. Pons";1971;Hardcover w/ slipcase;The Metropolitan Museum of Art;NULL;Good;90;Sycamore: 4th, Left;Art, History, ;NULL;NULL;N;NULL;24;NULL;2
25;Encyclopedia Of American Cars 1930-1980;Langworth, Richard M.;1984;Hardcover w/ jacket;Beekman House;N/A;Fair ;45;Sycamore: Bottom;Cars, History, Resource;NULL;672;9;Identifies and offers technical specifications for major and minor makes and models of automobiles manufactured in the U.S. between the forties and seventies.;25;"\"From Pat, Christmas 1984\" written inside. \"G.L.K.\" stamp also inside.";2
26;Lord of the Rings: The Fellowship of the Ring, The Two Towers, and the Return of the King;Tolkien, J.R.R.;1965;Hardcover;Houghton Mifflin;NULL;Used;1995;Sycamore: 2rd, Right;NULL;NULL;NULL;N;NULL;26;NULL;2
27;Heritage: Dickens - Hard Times;Dickens, Charles;1966;Hardcover w/ slipcase;Heritage Press;Charles Raymond (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;27;Sandglass included.;2
28;Heritage: Dickens - Oliver Twist;Dickens, Charles;1939;Hardcover w/ slipcase;Heritage Press;Freedman, Barnett (illustrator);Good, Like New;35;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;28;Sandglass included.;2
29;Frog and Toad Together;Arnold Lobel;1973;Hardcover;Newbery ;NULL;Used;45;Sycamore:;Childrens;NULL;NULL;N;NULL;29;"\"August 4th 1982. To Aaron Luke Kapor, On your first birthday! Hope you enjoy this book for years to come... Love, Uncle John, Aunt Nancy, Zachary and Gabriel.\" written inside. ";2
30;G Factor: The Science of Mental Ability, The;Jensen, Arthur Robert;1998;Hardcover;Praeger;NULL;Good, Like New;90;Sycamore: 2rd, Left;Health, Nutrition, Self-Help;NULL;NULL;NULL;NULL;30;NULL;2
107;Cheerful ;Brown, Palmer;1957;Hardcover w/ Jacket;Harper & Brothers;Brown, Palmer;Good;200;Sycamore:;Childrens;NULL;NULL;N;NULL;107;"\"Johnny Kapor, from Mom & Dad - Christmas 1963\" written inside. Jacket clipping. First edition, with jacket still in-tact, wich is very rare from what I've read. Price ranges from $75-300.";2
